year,Democratic,Republican,Poll_Leading_Margin,Poll_Leader,election_winner,Republican_Electoral,Democrat_Electoral,Republican_Popular,Democrat_Popular,Total_Popular_Vote (Total votes cast in Presidential Election),Republican_Electoral_pct (out of 270),Democrat_Electoral_pct (out of 270),Republican_Popular_pct (Out of total votes cast in Presidential Election),Democrat_Popular_pct (Out of total votes cast in Presidential Election),Electoral_Leading_Margin (difference between dem and rep electorial pct),Popular_Leading_Margin (difference between dem and rep popular vote pct),Poll_vs_Electoral_Margin_Diff,Poll_vs_Popular_Margin_Diff
1936,49.0,45.0,4.0,0,0,8,523,16679583,27751597,44431180,2.96,193.7,37.54,62.46,190.74,24.92,-186.74,-20.92
1936,49.0,45.0,4.0,0,0,8,523,16679583,27751597,44431180,2.96,193.7,37.54,62.46,190.74,24.92,-186.74,-20.92
1936,49.0,45.0,4.0,0,0,8,523,16679583,27751597,44431180,2.96,193.7,37.54,62.46,190.74,24.92,-186.74,-20.92
1936,49.0,44.0,5.0,0,0,8,523,16679583,27751597,44431180,2.96,193.7,37.54,62.46,190.74,24.92,-185.74,-19.92
1936,49.0,45.0,4.0,0,0,8,523,16679583,27751597,44431180,2.96,193.7,37.54,62.46,190.74,24.92,-186.74,-20.92
1936,50.0,44.0,6.0,0,0,8,523,16679583,27751597,44431180,2.96,193.7,37.54,62.46,190.74,24.92,-184.74,-18.92
1936,51.0,44.0,7.0,0,0,8,523,16679583,27751597,44431180,2.96,193.7,37.54,62.46,190.74,24.92,-183.74,-17.92
1936,51.0,44.0,7.0,0,0,8,523,16679583,27751597,44431180,2.96,193.7,37.54,62.46,190.74,24.92,-183.74,-17.92
1936,56.0,44.0,12.0,0,0,8,523,16679583,27751597,44431180,2.96,193.7,37.54,62.46,190.74,24.92,-178.74,-12.92
1940,48.0,42.0,6.0,0,0,82,449,22305198,27244160,49549358,30.37,166.3,45.02,54.98,135.93,9.96,-129.93,-3.96
1940,44.0,43.0,1.0,0,0,82,449,22305198,27244160,49549358,30.37,166.3,45.02,54.98,135.93,9.96,-134.93,-8.96
1940,45.0,43.0,2.0,0,0,82,449,22305198,27244160,49549358,30.37,166.3,45.02,54.98,135.93,9.96,-133.93,-7.96
1940,46.0,44.0,2.0,0,0,82,449,22305198,27244160,49549358,30.37,166.3,45.02,54.98,135.93,9.96,-133.93,-7.96
1940,49.0,40.0,9.0,0,0,82,449,22305198,27244160,49549358,30.37,166.3,45.02,54.98,135.93,9.96,-126.93,-0.96
1940,50.0,40.0,10.0,0,0,82,449,22305198,27244160,49549358,30.37,166.3,45.02,54.98,135.93,9.96,-125.93,0.04
1940,51.0,42.0,9.0,0,0,82,449,22305198,27244160,49549358,30.37,166.3,45.02,54.98,135.93,9.96,-126.93,-0.96
1940,52.0,48.0,4.0,0,0,82,449,22305198,27244160,49549358,30.37,166.3,45.02,54.98,135.93,9.96,-131.93,-5.96
1944,55.0,41.0,14.0,0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56,-109.33,6.44
1944,53.0,42.0,11.0,0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56,-112.33,3.44
1944,48.0,46.0,2.0,0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56,-121.33,-5.56
1944,48.0,47.0,1.0,0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56,-122.33,-6.56
1944,50.0,45.0,5.0,0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56,-118.33,-2.56
1944,51.0,45.0,6.0,0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56,-117.33,-1.56
1944,51.0,44.0,7.0,0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56,-116.33,-0.56
1944,46.0,45.0,1.0,0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56,-122.33,-6.56
1944,49.0,41.0,8.0,0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56,-115.33,0.44
1944,47.0,42.0,5.0,0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56,-118.33,-2.56
1944,47.0,45.0,2.0,0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56,-121.33,-5.56
1944,47.0,42.0,5.0,0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56,-118.33,-2.56
1944,50.0,45.0,5.0,0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56,-118.33,-2.56
1944,48.0,41.0,7.0,0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56,-116.33,-0.56
1944,47.0,45.0,2.0,0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56,-121.33,-5.56
1944,48.0,47.0,1.0,0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56,-122.33,-6.56
1944,50.0,47.0,3.0,0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56,-120.33,-4.56
1944,51.0,48.0,3.0,0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56,-120.33,-4.56
1948,46.0,41.0,5.0,0,0,189,303,21969170,24105695,46074865,70.0,112.22,47.68,52.32,42.22,4.64,-37.22,0.36
1948,39.0,47.0,8.0,1,0,189,303,21969170,24105695,46074865,70.0,112.22,47.68,52.32,42.22,4.64,-34.22,3.36
1948,38.0,49.0,11.0,1,0,189,303,21969170,24105695,46074865,70.0,112.22,47.68,52.32,42.22,4.64,-31.22,6.36
1948,37.0,48.0,11.0,1,0,189,303,21969170,24105695,46074865,70.0,112.22,47.68,52.32,42.22,4.64,-31.22,6.36
1948,37.0,48.0,11.0,1,0,189,303,21969170,24105695,46074865,70.0,112.22,47.68,52.32,42.22,4.64,-31.22,6.36
1948,36.0,49.0,13.0,1,0,189,303,21969170,24105695,46074865,70.0,112.22,47.68,52.32,42.22,4.64,-29.22,8.36
1948,39.0,47.0,8.0,1,0,189,303,21969170,24105695,46074865,70.0,112.22,47.68,52.32,42.22,4.64,-34.22,3.36
1948,39.0,47.0,8.0,1,0,189,303,21969170,24105695,46074865,70.0,112.22,47.68,52.32,42.22,4.64,-34.22,3.36
1948,40.0,46.0,6.0,1,0,189,303,21969170,24105695,46074865,70.0,112.22,47.68,52.32,42.22,4.64,-36.22,1.36
1948,45.0,50.0,5.0,1,0,189,303,21969170,24105695,46074865,70.0,112.22,47.68,52.32,42.22,4.64,-37.22,0.36
1952,31.0,59.0,28.0,1,1,442,89,33778963,27314992,61093955,163.7,32.96,55.29,44.71,130.74,10.58,-102.74,17.42
1952,43.0,50.0,7.0,1,1,442,89,33778963,27314992,61093955,163.7,32.96,55.29,44.71,130.74,10.58,-123.74,-3.58
1952,40.0,55.0,15.0,1,1,442,89,33778963,27314992,61093955,163.7,32.96,55.29,44.71,130.74,10.58,-115.74,4.42
1952,41.0,55.0,14.0,1,1,442,89,33778963,27314992,61093955,163.7,32.96,55.29,44.71,130.74,10.58,-116.74,3.42
1952,41.0,53.0,12.0,1,1,442,89,33778963,27314992,61093955,163.7,32.96,55.29,44.71,130.74,10.58,-118.74,1.42
1952,38.0,51.0,13.0,1,1,442,89,33778963,27314992,61093955,163.7,32.96,55.29,44.71,130.74,10.58,-117.74,2.42
1952,39.0,48.0,9.0,1,1,442,89,33778963,27314992,61093955,163.7,32.96,55.29,44.71,130.74,10.58,-121.74,-1.58
1952,39.0,48.0,9.0,1,1,442,89,33778963,27314992,61093955,163.7,32.96,55.29,44.71,130.74,10.58,-121.74,-1.58
1952,49.0,51.0,2.0,1,1,442,89,33778963,27314992,61093955,163.7,32.96,55.29,44.71,130.74,10.58,-128.74,-8.58
1956,35.0,61.0,26.0,1,1,457,73,35581003,25738765,61319768,169.26,27.04,58.03,41.97,142.22,16.06,-116.22,9.94
1956,33.0,63.0,30.0,1,1,457,73,35581003,25738765,61319768,169.26,27.04,58.03,41.97,142.22,16.06,-112.22,13.94
1956,37.0,61.0,24.0,1,1,457,73,35581003,25738765,61319768,169.26,27.04,58.03,41.97,142.22,16.06,-118.22,7.94
1956,33.0,62.0,29.0,1,1,457,73,35581003,25738765,61319768,169.26,27.04,58.03,41.97,142.22,16.06,-113.22,12.94
1956,35.0,62.0,27.0,1,1,457,73,35581003,25738765,61319768,169.26,27.04,58.03,41.97,142.22,16.06,-115.22,10.94
1956,35.0,62.0,27.0,1,1,457,73,35581003,25738765,61319768,169.26,27.04,58.03,41.97,142.22,16.06,-115.22,10.94
1956,37.0,61.0,24.0,1,1,457,73,35581003,25738765,61319768,169.26,27.04,58.03,41.97,142.22,16.06,-118.22,7.94
1956,41.0,52.0,11.0,1,1,457,73,35581003,25738765,61319768,169.26,27.04,58.03,41.97,142.22,16.06,-131.22,-5.06
1956,41.0,52.0,11.0,1,1,457,73,35581003,25738765,61319768,169.26,27.04,58.03,41.97,142.22,16.06,-131.22,-5.06
1956,40.0,52.0,12.0,1,1,457,73,35581003,25738765,61319768,169.26,27.04,58.03,41.97,142.22,16.06,-130.22,-4.06
1956,41.0,51.0,10.0,1,1,457,73,35581003,25738765,61319768,169.26,27.04,58.03,41.97,142.22,16.06,-132.22,-6.06
1956,40.0,59.0,19.0,1,1,457,73,35581003,25738765,61319768,169.26,27.04,58.03,41.97,142.22,16.06,-123.22,2.94
1960,43.0,48.0,5.0,1,0,219,303,34107646,34227096,68334742,81.11,112.22,49.91,50.09,31.11,0.18,-26.11,4.82
1960,48.0,48.0,0.0,0,0,219,303,34107646,34227096,68334742,81.11,112.22,49.91,50.09,31.11,0.18,-31.11,-0.18
1960,50.0,45.0,5.0,0,0,219,303,34107646,34227096,68334742,81.11,112.22,49.91,50.09,31.11,0.18,-26.11,4.82
1960,51.0,44.0,7.0,0,0,219,303,34107646,34227096,68334742,81.11,112.22,49.91,50.09,31.11,0.18,-24.11,6.82
